year,week,province,Civilian,Non-Civilian
2012,3,Quneitra,0.0,0.0
2012,3,Raqqa,3.0,0.0
2012,3,Sweida,0.0,0.0
2012,3,Tartous,0.0,0.0
2012,4,Aleppo,15.0,1.0
2012,4,Damascus,13.0,1.0
2012,4,Damascus Suburbs,93.0,5.0
2012,4,Daraa,33.0,9.0
2012,4,Deir Ezzor,4.0,1.0
2012,4,Hama,48.0,12.0
2012,4,Hasakeh,0.0,0.0
2012,4,Homs,151.0,5.0
2012,4,Idlib,27.0,10.0
2012,4,Lattakia,7.0,0.0
2012,4,Quneitra,0.0,2.0
2012,4,Raqqa,0.0,1.0
2012,4,Sweida,0.0,0.0
2012,4,Tartous,0.0,0.0
2012,5,Aleppo,7.0,1.0
2012,5,Damascus,6.0,2.0
2012,5,Damascus Suburbs,88.0,7.0
2012,5,Daraa,25.0,8.0
2012,5,Deir Ezzor,6.0,0.0
2012,5,Hama,8.0,1.0
2012,5,Hasakeh,3.0,1.0
2012,5,Homs,335.0,22.0
2012,5,Idlib,47.0,14.0
2012,5,Lattakia,4.0,0.0
2012,5,Quneitra,0.0,1.0
2012,5,Raqqa,0.0,0.0
2012,5,Sweida,0.0,0.0
2012,5,Tartous,1.0,0.0
2012,6,Aleppo,13.0,12.0
2012,6,Damascus,7.0,6.0
2012,6,Damascus Suburbs,62.0,29.0
2012,6,Daraa,35.0,19.0
2012,6,Deir Ezzor,4.0,7.0
2012,6,Hama,16.0,3.0
2012,6,Hasakeh,1.0,1.0
2012,6,Homs,321.0,22.0
2012,6,Idlib,48.0,10.0
2012,6,Lattakia,4.0,1.0
2012,6,Quneitra,0.0,0.0
2012,6,Raqqa,0.0,1.0
2012,6,Sweida,0.0,0.0
2012,6,Tartous,0.0,0.0
2012,7,Aleppo,15.0,12.0
2012,7,Damascus,19.0,0.0
2012,7,Damascus Suburbs,27.0,7.0
2012,7,Daraa,26.0,12.0
2012,7,Deir Ezzor,18.0,1.0
2012,7,Hama,40.0,8.0
2012,7,Hasakeh,0.0,2.0
2012,7,Homs,73.0,15.0
2012,7,Idlib,73.0,8.0
2012,7,Lattakia,2.0,0.0
2012,7,Quneitra,0.0,0.0
2012,7,Raqqa,0.0,2.0
2012,7,Sweida,0.0,0.0
2012,7,Tartous,0.0,0.0
2012,8,Aleppo,18.0,5.0
2012,8,Damascus,7.0,0.0
2012,8,Damascus Suburbs,9.0,3.0
2012,8,Daraa,29.0,1.0
2012,8,Deir Ezzor,10.0,2.0
2012,8,Hama,71.0,0.0
2012,8,Hasakeh,15.0,1.0
2012,8,Homs,165.0,11.0
2012,8,Idlib,121.0,4.0
2012,8,Lattakia,1.0,0.0
2012,8,Quneitra,4.0,0.0
2012,8,Raqqa,1.0,2.0
2012,8,Sweida,0.0,0.0
2012,8,Tartous,0.0,0.0
2012,9,Aleppo,36.0,4.0
2012,9,Damascus,2.0,8.0
2012,9,Damascus Suburbs,37.0,13.0
2012,9,Daraa,15.0,16.0
2012,9,Deir Ezzor,19.0,7.0
2012,9,Hama,44.0,3.0
2012,9,Hasakeh,0.0,0.0
2012,9,Homs,187.0,15.0
2012,9,Idlib,70.0,12.0
2012,9,Lattakia,3.0,0.0
2012,9,Quneitra,1.0,4.0
2012,9,Raqqa,0.0,4.0
2012,9,Sweida,0.0,0.0
2012,9,Tartous,0.0,0.0
2012,10,Aleppo,10.0,10.0
2012,10,Damascus,4.0,1.0
2012,10,Damascus Suburbs,13.0,16.0
2012,10,Daraa,23.0,9.0
2012,10,Deir Ezzor,8.0,0.0
2012,10,Hama,20.0,0.0
2012,10,Hasakeh,1.0,1.0
2012,10,Homs,235.0,13.0
2012,10,Idlib,102.0,18.0
2012,10,Lattakia,1.0,1.0
2012,10,Quneitra,0.0,0.0
2012,10,Raqqa,0.0,0.0
2012,10,Sweida,0.0,0.0
2012,10,Tartous,0.0,0.0
2012,11,Aleppo,11.0,7.0
2012,11,Damascus,0.0,1.0
2012,11,Damascus Suburbs,26.0,10.0
2012,11,Daraa,39.0,8.0
2012,11,Deir Ezzor,4.0,21.0
2012,11,Hama,26.0,10.0
2012,11,Hasakeh,1.0,3.0
