"","year","week","province","count"
"3983",2016,34,"Deir.Ezzor",6
"3984",2016,34,"Hama",5
"3985",2016,34,"Homs",35
"3986",2016,34,"Idlib",54
"3987",2016,34,"Lattakia",0
"3988",2016,34,"Quneitra",0
"3989",2016,34,"Damascus.Suburbs",53
"3990",2016,34,"Tartous",0
"3991",2016,35,"Hasakeh",0
"3992",2016,35,"Aleppo",88
"3993",2016,35,"Raqqa",0
"3994",2016,35,"Sweida",0
"3995",2016,35,"Damascus",4
"3996",2016,35,"Daraa",36
"3997",2016,35,"Deir.Ezzor",11
"3998",2016,35,"Hama",88
"3999",2016,35,"Homs",23
"4000",2016,35,"Idlib",86
"4001",2016,35,"Lattakia",0
"4002",2016,35,"Quneitra",0
"4003",2016,35,"Damascus.Suburbs",49
"4004",2016,35,"Tartous",0
"4005",2016,36,"Hasakeh",0
"4006",2016,36,"Aleppo",111
"4007",2016,36,"Raqqa",0
"4008",2016,36,"Sweida",1
"4009",2016,36,"Damascus",1
"4010",2016,36,"Daraa",41
"4011",2016,36,"Deir.Ezzor",9
"4012",2016,36,"Hama",48
"4013",2016,36,"Homs",16
"4014",2016,36,"Idlib",107
"4015",2016,36,"Lattakia",0
"4016",2016,36,"Quneitra",2
"4017",2016,36,"Damascus.Suburbs",53
"4018",2016,36,"Tartous",0
"4019",2016,37,"Hasakeh",1
"4020",2016,37,"Aleppo",51
"4021",2016,37,"Raqqa",1
"4022",2016,37,"Sweida",0
"4023",2016,37,"Damascus",2
"4024",2016,37,"Daraa",33
"4025",2016,37,"Deir.Ezzor",38
"4026",2016,37,"Hama",9
"4027",2016,37,"Homs",17
"4028",2016,37,"Idlib",15
"4029",2016,37,"Lattakia",0
"4030",2016,37,"Quneitra",3
"4031",2016,37,"Damascus.Suburbs",23
"4032",2016,37,"Tartous",0
"4033",2016,38,"Hasakeh",0
"4034",2016,38,"Aleppo",388
"4035",2016,38,"Raqqa",1
"4036",2016,38,"Sweida",0
"4037",2016,38,"Damascus",1
"4038",2016,38,"Daraa",25
"4039",2016,38,"Deir.Ezzor",21
"4040",2016,38,"Hama",29
"4041",2016,38,"Homs",23
"4042",2016,38,"Idlib",68
"4043",2016,38,"Lattakia",0
"4044",2016,38,"Quneitra",2
"4045",2016,38,"Damascus.Suburbs",21
"4046",2016,38,"Tartous",0
