year,week,province,Civilian,Non-Civilian,Adult - Female,Adult - Male,Child - Female,Child - Male,Chemical and toxic gases,Detention - Execution,Detention - Torture,Detention - Torture - Execution,Explosion,Field Execution,Kidnapping - Execution,Kidnapping - Torture,Kidnapping - Torture - Execution,Other,Shelling,Shooting,Siege,Un-allowed to seek Medical help,Unknown,Warplane shelling,total
2011,15,Tartous,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,16,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,Damascus,34,0,0,28,2,4,0,0,0,0,1,0,0,0,0,0,0,33,0,0,0,0,34
2011,16,Damascus Suburbs,52,1,0,52,0,1,0,0,0,0,0,0,0,0,0,1,0,52,0,0,0,0,53
2011,16,Daraa,35,2,0,33,0,4,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,37
2011,16,Deir Ezzor,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
2011,16,Hama,14,1,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
2011,16,Hasakeh,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,16,Homs,53,1,0,51,0,3,0,0,0,0,0,1,0,0,0,0,0,53,0,0,0,0,54
2011,16,Idlib,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,16,Lattakia,27,2,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29
2011,16,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,16,Sweida,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2011,16,Tartous,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
2011,17,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,Damascus,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
2011,17,Damascus Suburbs,15,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,15
2011,17,Daraa,208,4,2,198,5,7,0,0,15,0,0,0,0,0,0,0,10,185,0,2,0,0,212
2011,17,Deir Ezzor,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,3
2011,17,Hama,5,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
2011,17,Hasakeh,0,3,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3
2011,17,Homs,51,3,0,49,0,5,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54
2011,17,Idlib,2,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4
2011,17,Lattakia,13,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
2011,17,Quneitra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,Raqqa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,Sweida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,17,Tartous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,18,Aleppo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
