year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,28,Tartous,0.0,0.0,0.0,0.0
2011,29,Aleppo,0.0,2.0,0.0,0.0
2011,29,Damascus,0.0,1.0,0.0,2.0
2011,29,Damascus Suburbs,0.0,4.0,0.0,0.0
2011,29,Daraa,0.0,5.0,0.0,0.0
2011,29,Deir Ezzor,0.0,3.0,0.0,0.0
2011,29,Hama,0.0,1.0,0.0,1.0
2011,29,Hasakeh,0.0,0.0,0.0,0.0
2011,29,Homs,2.0,42.0,0.0,8.0
2011,29,Idlib,0.0,5.0,0.0,0.0
2011,29,Lattakia,0.0,2.0,0.0,0.0
2011,29,Quneitra,0.0,0.0,0.0,0.0
2011,29,Raqqa,0.0,0.0,0.0,0.0
2011,29,Sweida,0.0,0.0,0.0,0.0
2011,29,Tartous,0.0,0.0,0.0,0.0
2011,30,Aleppo,0.0,3.0,0.0,0.0
2011,30,Damascus,0.0,2.0,0.0,2.0
2011,30,Damascus Suburbs,0.0,26.0,1.0,2.0
2011,30,Daraa,0.0,25.0,2.0,0.0
2011,30,Deir Ezzor,0.0,47.0,0.0,5.0
2011,30,Hama,0.0,170.0,2.0,4.0
2011,30,Hasakeh,0.0,0.0,0.0,0.0
2011,30,Homs,2.0,7.0,0.0,1.0
2011,30,Idlib,0.0,9.0,0.0,0.0
2011,30,Lattakia,0.0,2.0,0.0,0.0
2011,30,Quneitra,0.0,0.0,0.0,0.0
2011,30,Raqqa,0.0,0.0,0.0,0.0
2011,30,Sweida,0.0,0.0,0.0,0.0
2011,30,Tartous,0.0,0.0,0.0,0.0
2011,31,Aleppo,0.0,2.0,0.0,0.0
2011,31,Damascus,0.0,7.0,0.0,1.0
2011,31,Damascus Suburbs,0.0,26.0,0.0,5.0
2011,31,Daraa,0.0,5.0,0.0,2.0
2011,31,Deir Ezzor,0.0,13.0,0.0,2.0
2011,31,Hama,3.0,64.0,5.0,5.0
2011,31,Hasakeh,0.0,0.0,0.0,0.0
2011,31,Homs,2.0,60.0,1.0,3.0
2011,31,Idlib,0.0,11.0,0.0,1.0
2011,31,Lattakia,2.0,12.0,2.0,0.0
2011,31,Quneitra,0.0,0.0,0.0,0.0
2011,31,Raqqa,0.0,0.0,0.0,0.0
2011,31,Sweida,0.0,0.0,0.0,0.0
2011,31,Tartous,0.0,0.0,0.0,0.0
2011,32,Aleppo,0.0,4.0,0.0,0.0
2011,32,Damascus,0.0,0.0,0.0,0.0
2011,32,Damascus Suburbs,2.0,13.0,0.0,0.0
2011,32,Daraa,0.0,7.0,0.0,2.0
2011,32,Deir Ezzor,1.0,11.0,1.0,2.0
2011,32,Hama,5.0,26.0,5.0,3.0
2011,32,Hasakeh,0.0,1.0,0.0,0.0
2011,32,Homs,0.0,43.0,0.0,1.0
2011,32,Idlib,3.0,9.0,0.0,0.0
2011,32,Lattakia,2.0,52.0,2.0,2.0
2011,32,Quneitra,0.0,0.0,0.0,0.0
2011,32,Raqqa,0.0,0.0,0.0,0.0
2011,32,Sweida,0.0,0.0,0.0,0.0
2011,32,Tartous,0.0,0.0,0.0,0.0
2011,33,Aleppo,0.0,0.0,0.0,0.0
2011,33,Damascus,0.0,0.0,0.0,0.0
2011,33,Damascus Suburbs,0.0,5.0,0.0,0.0
2011,33,Daraa,0.0,11.0,0.0,3.0
2011,33,Deir Ezzor,0.0,0.0,0.0,2.0
2011,33,Hama,0.0,9.0,0.0,0.0
2011,33,Hasakeh,0.0,0.0,0.0,0.0
2011,33,Homs,0.0,67.0,3.0,3.0
2011,33,Idlib,0.0,9.0,0.0,0.0
2011,33,Lattakia,4.0,28.0,0.0,2.0
2011,33,Quneitra,0.0,0.0,0.0,0.0
2011,33,Raqqa,0.0,0.0,0.0,0.0
